time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1629	1.37179	5.185	0.251838	0.24121	radar	4.76178	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3863	1.44949	5.14636	0.272192	0.253217	lidar	1.00732	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6144	1.53756	4.98279	0.299309	0.277684	radar	3.23127	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8366	1.55993	4.93694	0.28728	0.242171	lidar	1.32486	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1052	1.61235	5.047	0.284338	0.218981	radar	2.40224	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3872	1.6527	5.0951	0.274309	0.189517	lidar	2.25252	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6172	1.70877	5.02252	0.279006	0.184042	radar	0.707731	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.846	1.76971	4.99964	0.284746	0.179365	lidar	0.270711	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1042	1.86408	5.12984	0.301633	0.187879	radar	1.48966	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3493	1.88547	5.10202	0.281856	0.147824	lidar	0.745269	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6073	1.94661	5.18982	0.280496	0.133808	radar	0.794138	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8075	2.08549	5.15055	0.327484	0.189054	lidar	3.13812	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0768	2.1997	5.30655	0.34638	0.198248	radar	2.85726	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2819	2.34309	5.2708	0.388716	0.242612	lidar	2.38551	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4544	2.49565	5.04471	0.442934	0.30849	radar	10.7845	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7056	2.60594	5.08215	0.454923	0.303627	lidar	0.915349	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9241	2.72123	5.05387	0.473327	0.309162	radar	0.136285	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1533	2.87329	5.09009	0.505213	0.331167	lidar	0.478205	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4056	2.98769	5.22698	0.505484	0.301692	radar	1.4623	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.614	3.04759	5.1402	0.490947	0.262164	lidar	2.45826	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8454	3.21046	5.24895	0.519404	0.27889	radar	3.43361	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0555	3.40513	5.28401	0.56648	0.323501	lidar	0.80241	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2634	3.57896	5.22443	0.604305	0.358927	radar	2.51719	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4789	3.76341	5.26255	0.637622	0.379456	lidar	0.387408	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6891	3.89917	5.23236	0.646502	0.366593	radar	1.12204	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9133	4.0327	5.22643	0.649316	0.345823	lidar	0.313718	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1067	4.1945	5.12048	0.677101	0.36897	radar	1.58069	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3035	4.38712	5.15557	0.709127	0.387046	lidar	0.260749	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5143	4.55281	5.19689	0.720519	0.373564	radar	0.70483	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6925	4.71349	5.16312	0.737625	0.371516	lidar	0.500645	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8432	4.89931	4.97157	0.784035	0.427584	radar	3.55649	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0041	5.12599	5.02196	0.829422	0.459435	lidar	0.516102	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1757	5.28931	4.98629	0.842229	0.447124	radar	1.58708	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3329	5.46568	4.96358	0.861765	0.443436	lidar	0.151777	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4912	5.62493	4.89399	0.874402	0.434311	radar	2.89322	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6839	5.73853	4.82189	0.855077	0.380495	lidar	1.58772	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8302	5.92545	4.7638	0.883598	0.400155	radar	0.626131	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0016	6.12094	4.8018	0.900349	0.396014	lidar	0.944894	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1542	6.32562	4.84945	0.922252	0.396136	radar	0.865477	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2727	6.57458	4.90942	0.970899	0.433951	lidar	0.749419	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4059	6.78616	4.90783	0.997819	0.442856	radar	0.238759	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5549	6.91355	4.7948	0.984767	0.397058	lidar	1.58844	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7071	7.11928	4.88011	0.991827	0.370745	radar	0.803885	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9074	7.25286	4.81932	0.961203	0.307303	lidar	3.65468	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9977	7.44382	4.67318	1.0002	0.352225	radar	3.70861	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0828	7.72669	4.7828	1.06108	0.408542	lidar	1.76723	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2067	7.92928	4.7996	1.07264	0.392889	radar	0.28151	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2834	8.15195	4.79231	1.10879	0.413765	lidar	1.26922	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3845	8.36022	4.81871	1.12243	0.395969	radar	2.16633	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4813	8.50024	4.67795	1.11994	0.367056	lidar	3.1512	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5754	8.70158	4.63125	1.14082	0.375238	radar	0.450068	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7377	8.87742	4.61001	1.12282	0.328991	lidar	3.94336	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8141	9.09184	4.55432	1.15646	0.361173	radar	0.991381	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9408	9.33068	4.62947	1.16847	0.354312	lidar	3.35349	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9888	9.54401	4.52259	1.21459	0.40812	radar	2.3654	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0705	9.79729	4.5999	1.24413	0.420242	lidar	1.11061	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1318	10.0505	4.69767	1.27229	0.420305	radar	7.42735	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1744	10.3394	4.80735	1.31955	0.453613	lidar	1.12298	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1891	10.5754	4.74137	1.3718	0.506995	radar	2.67063	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2434	10.8588	4.84253	1.40415	0.515903	lidar	2.15606	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2704	11.1229	4.91197	1.43433	0.513688	radar	4.87076	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3053	11.3593	4.89905	1.45654	0.509471	lidar	0.016757	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2478	11.6093	4.80328	1.54172	0.619079	radar	9.71123	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.321	11.8436	4.79495	1.54224	0.582397	lidar	5.14026	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3491	12.0795	4.86521	1.53864	0.508643	radar	4.12452	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3315	12.3767	4.97776	1.58019	0.527737	lidar	0.935211	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2797	12.6149	4.89883	1.64295	0.600907	radar	2.80691	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3083	12.8462	4.86431	1.65089	0.574674	lidar	2.09302	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2988	13.0737	4.82952	1.67335	0.568249	radar	2.12113	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2667	13.2785	4.75874	1.70085	0.567191	lidar	0.949358	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2297	13.5129	4.77689	1.72368	0.549612	radar	1.33947	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2072	13.776	4.82831	1.74523	0.542614	lidar	1.41717	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1534	14.0001	4.7902	1.78124	0.56275	radar	0.769753	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0951	14.2605	4.84843	1.81185	0.565751	lidar	0.378208	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0236	14.4896	4.84818	1.84201	0.564048	radar	1.34918	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.91	14.7524	4.93621	1.88835	0.58537	lidar	1.04533	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8455	14.9685	4.91068	1.90049	0.546436	radar	3.43387	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8226	15.177	4.82478	1.90489	0.519983	lidar	2.28193	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6923	15.3807	4.73731	1.98904	0.653796	radar	7.552	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6726	15.5541	4.59209	1.99282	0.62028	lidar	3.42784	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5864	15.7515	4.56902	2.01526	0.601713	radar	1.29889	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4775	15.9712	4.60564	2.0469	0.603428	lidar	0.093567	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3808	16.176	4.61553	2.05745	0.555034	radar	1.86269	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2722	16.3531	4.56467	2.0872	0.557547	lidar	0.432534	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.159	16.5448	4.55096	2.11652	0.56212	radar	0.22837	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0202	16.767	4.62633	2.14726	0.564902	lidar	0.350087	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8621	16.9589	4.63815	2.21421	0.657598	radar	6.50217	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6717	17.2135	4.82589	2.2528	0.66319	lidar	2.08464	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5756	17.4161	4.78897	2.22448	0.527456	radar	6.10565	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3517	17.6207	4.91193	2.27333	0.551561	lidar	3.75893	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2142	17.8146	4.90183	2.27197	0.484383	radar	2.05318	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0886	17.9972	4.85224	2.28562	0.473079	lidar	0.935257	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.913	18.1487	4.81473	2.33425	0.526956	radar	2.26482	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7939	18.2805	4.67911	2.3541	0.520405	lidar	1.03669	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6652	18.4571	4.64569	2.36024	0.488705	radar	6.48669	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4612	18.6499	4.75078	2.38822	0.492097	lidar	0.593421	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2829	18.7874	4.71959	2.42669	0.521334	radar	1.84153	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1268	18.92	4.65239	2.45093	0.51966	lidar	0.24091	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9596	19.0905	4.66742	2.46237	0.495507	radar	2.99098	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7394	19.2095	4.68669	2.5038	0.514067	lidar	2.77667	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5463	19.365	4.72287	2.52933	0.521312	radar	3.2725	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3094	19.5367	4.84754	2.55472	0.519308	lidar	0.819615	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0878	19.6173	4.81327	2.60972	0.569633	radar	10.134	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8791	19.7634	4.84964	2.62994	0.560004	lidar	0.727713	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6945	19.8863	4.78473	2.63057	0.494684	radar	3.21932	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4544	20.0473	4.89808	2.64664	0.483383	lidar	1.15679	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2347	20.1952	4.94314	2.65658	0.460085	radar	5.48825	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0549	20.3211	4.88825	2.66782	0.447795	lidar	1.9002	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8227	20.4035	4.88849	2.70838	0.480872	radar	2.23863	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6093	20.5212	4.89191	2.7249	0.472528	lidar	0.580298	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3671	20.6111	4.93265	2.76358	0.507896	radar	1.24953	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1221	20.683	4.94276	2.79679	0.51643	lidar	0.693995	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8813	20.7565	4.9635	2.83334	0.542117	radar	0.302294	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6026	20.8211	5.03541	2.86849	0.549947	lidar	1.484	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.351	20.8536	5.05736	2.92427	0.612054	radar	2.10888	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1109	20.8881	5.02834	2.96004	0.618394	lidar	0.195034	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8792	20.948	5.00054	2.97902	0.597995	radar	1.89155	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6962	20.9807	4.87019	3.00606	0.59816	lidar	2.15058	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4395	21.0243	4.91283	3.03185	0.59328	radar	2.52446	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1933	21.0599	4.92489	3.05689	0.587678	lidar	0.144703	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9564	21.0794	4.91774	3.08777	0.594705	radar	0.927059	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7205	21.0451	4.87298	3.13475	0.615724	lidar	1.84378	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4757	21.031	4.86568	3.16952	0.618719	radar	1.05308	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2681	21.0201	4.79367	3.20128	0.621843	lidar	0.652612	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0149	20.9813	4.81274	3.24007	0.629248	radar	4.10321	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8129	20.9395	4.73283	3.27932	0.640887	lidar	0.407657	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5687	20.9378	4.67974	3.28061	0.574085	radar	5.70224	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2677	20.976	4.83661	3.27291	0.52588	lidar	3.69478	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0304	20.9567	4.83159	3.29196	0.515621	radar	1.0091	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.85068	20.9141	4.71257	3.325	0.527617	lidar	1.50118	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.62371	20.9029	4.63244	3.3225	0.467017	radar	1.88709	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.43991	20.8513	4.5443	3.35414	0.479161	lidar	0.648534	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.22757	20.8051	4.54449	3.3809	0.489086	radar	1.44389	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.90598	20.7861	4.74886	3.37573	0.448852	lidar	2.85875	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.69944	20.7028	4.72016	3.41629	0.477893	radar	4.41332	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40424	20.6257	4.86048	3.43418	0.467291	lidar	2.98224	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17439	20.5454	4.87555	3.46441	0.481304	radar	0.117803	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.92653	20.4669	4.91107	3.48494	0.476248	lidar	0.116994	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.70972	20.3804	4.9338	3.52022	0.505713	radar	3.45971	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.37524	20.3278	5.13499	3.50878	0.457298	lidar	2.9128	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.13538	20.2342	5.12205	3.5281	0.447838	radar	0.225718	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.86798	20.1506	5.17957	3.53823	0.432062	lidar	0.27534	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.63714	20.0612	5.14329	3.55294	0.41836	radar	0.539366	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.39431	19.9678	5.15568	3.56777	0.410984	lidar	0.119625	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.17496	19.8751	5.1268	3.58626	0.411035	radar	2.97781	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.91214	19.7805	5.18317	3.59306	0.393555	lidar	0.340044	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.6707	19.6362	5.27332	3.63137	0.433176	radar	1.76294	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.52173	19.5066	5.11656	3.67344	0.461134	lidar	2.09001	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.32042	19.3575	5.10287	3.70851	0.479005	radar	1.84383	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.11617	19.2538	5.06564	3.72238	0.468072	lidar	1.97978	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.93536	19.1414	4.93634	3.73596	0.444305	radar	4.69777	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78864	18.9895	4.84188	3.77781	0.470981	lidar	0.73314	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
